Type ,Name,Instagram Link,Instagram,Website
food.dining,Straight Outta Sould Food,https://www.instagram.com/straight_outta__soulfood/,straight_outta__soulfood,https://www.thumbtack.com/or/eugene/personal-chefs/main-course/service/180787000236500183?category_pk=150767068874637772&search_request_pk=347342063703932934&encoded_answers=eyJzZl9wayI6IjM0NjExNDYzNDA4NzMyNTY5OCIsImFucyI6eyI1IjoiOTc0MDMifX0%3D&lp_request_pk=347342232985796615&is_date_set=true&zip_code=97403&lp_path=%2For%2Fmcminnville%2Fpersonal-chefs%2F&is_zip_code_changed=true&click_origin=pro%20list%2Fclick%20pro%20name&urgency_signal=popular
food.dining,Noisette Pastry Kitchen,https://www.instagram.com/noisettepk/,noisettepk,https://www.noisettepk.com
food.dining,Stewart Soul Fusion,https://www.instagram.com/stewartssoulfusion/,stewartssoulfusion,
food.dining,Irie Jamaican Kitchen,https://www.instagram.com/irie_jamaicankitchen/,irie_jamaicankitchen,https://www.iriejamaicancuisine.com/blog
food.dining,Philyaw's Kitchen,https://www.instagram.com/philyawscookout/,philyawscookout,https://philyawscookout.com
food.dining,Equiano's Coffee,https://www.instagram.com/equianocoffee/,equianocoffee,https://linktr.ee/equianocoffee
haircare.beauty,Blessings Hair Design,https://www.instagram.com/blessingshairdesign/,blessingshairdesign,https://blessingshairdesign.com
haircare.beauty,Beauty by Kinaya,https://www.instagram.com/beautybykinaya/,beautybykinaya,https://www.facebook.com/beautybykinaya/
haircare.beauty,Glamour by A,https://www.instagram.com/glamourbya/,glamourbya,https://www.styleseat.com/m/v/amirateferi
haircare.beauty,Yarbs and Roots,https://www.instagram.com/yarbsandroots/,yarbsandroots,https://yarbsandroots.com
haircare.beauty,Wise Warrior Botanicals,https://www.instagram.com/wisewarriorbotanicals/,wisewarriorbotanicals,https://wisewarriorbotanicals.com
haircare.beauty,Hatchet Botanicals,https://www.instagram.com/hatchetoriginals/,hatchetoriginals,
haircare.beauty,Mo Beauty,https://www.instagram.com/madewithsolshop/,madewithsolshop,https://www.madewithsol.com
haircare.beauty,Kings Klaws,https://www.instagram.com/elev8cannabis/,elev8cannabis,https://elev8cannabis.com
haircare.beauty,Styled by Lillie,https://www.instagram.com/styled_bylillie/,styled_bylillie,https://www.treuhairco.com
haircare.beauty,She Rocks Locks,https://www.instagram.com/sherockslocs/,sherockslocs,
cannabis.vape,Juiced Up Vapors,https://www.instagram.com/juicedupvapors/,juicedupvapors,
cannabis.vape,Elev8Cannabis,https://www.instagram.com/elev8cannabis/,elev8cannabis,https://elev8cannabis.com
retail,Sweet Skins,https://www.instagram.com/sweetskinshemp/,sweetskinshemp,https://linktr.ee/sweetskinshemp
home.decor,De La Terracotta,https://www.instagram.com/delaterracotta/,delaterracotta,https://www.etsy.com/shop/delaterracotta
home.decor,Made with Sol,https://www.instagram.com/madewithsolshop/,madewithsolshop,https://www.madewithsol.com
health,Greene Power Health and Sports,https://www.instagram.com/livegreene35/,livegreene35,
health,Kingdom Elite Cheerleading,https://www.instagram.com/kingdomelitecheerleading/,kingdomelitecheerleading,https://app.jackrabbitclass.com/regv2.asp?id=537639
music,Live Chorus,https://www.instagram.com/livechorus/,livechorus,https://linktr.ee/LiveChorus
music,Xcape Dance Academy,https://www.instagram.com/xcapedanceacademy/,xcapedanceacademy,http://xcapedance.com
auto,Top Class Auto Salon,https://www.instagram.com/topclassautosalon/,topclassautosalon,http://www.topclassautosalon.com
boutiques,Swahili African Modern,https://www.instagram.com/swahili5thst/,swahili5thst,https://www.5stmarket.com/swahili-african-market
animal,Pawsitive Influence Dog Training,https://www.facebook.com/Pawsitive-Influence-Dog-Training-280302259523050/,Pawsitive Influence Dog Training,
